sku,price_per_box,supervisor_target_boxes,brand_name_thai,brand_name_english,product_name_thai
736017,648.9,57,มิตรผล,Mitrphol,มิตรผลโกลด์น้ำตาลแร่ธรรมชาติ
736173,575.7,6,มิตรผล,Mitrphol,มิตรผลน้ำตาลทรายชนิดขวด220ก.
737254,1091.12,5,มิตรผล,Mitrphol,มิตรผลคอฟฟี่ชูการ์ชนิดซอง(8ก.x30x4x10)
320150,2027.24,64,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงสีฟันนุ่มพิเศษใหม่
320473,1764.6,5,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงสีฟันคลาสสิกคลีน-เอ็มP3
320234,1813.04,5,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงสีฟันจัดฟันโอดี-เอส
320259,1399.94,83,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงสีฟันคลาสสิกคลีน-แอล
320317,2113.09,5,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงสีฟันเอ็กซ์แอลนุ่มมาตรฐาน+ยาสีฟัน
320598,2026.97,5,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงสีฟันออรินุ่มมาตราฐาน+ยาMAXICOOL25ก.
320226,1813.05,40,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงสีฟันจัดฟันโอดี-เอ็ม
293886,510.0,44,ไลปอนเอฟ,Lipon-F,ไลปอน กลิ่นชามะนาว 3200มล
718064,1198.5,28,โชกุบุซึ,Chogubuze,โชกุบุสซึโฟมสูตรลดสิวเสี้ยน100ก.
210138,350.66,129,ซื่อสัตย์,SUE-SAT,ซื่อสัตย์ผงซักฟอก5000ก.(3)
139337,918.0,28,โชกุบุซึ,Chogubuze,โชกุบุสซึครีมอาบน้ำผิวนุ่มขวดชิ้งค์200มล.
139253,484.49,9,โชกุบุซึ,Chogubuze,โชกุบุสซึครีมอาบน้ำผิวขาวชิ้งค์100มล.
013243,289.84,52,ของแถม,PREMIUM,ถังต่ายไฮเปอร์
003996,201.3,5,โคโดโม,Kodomo,แก้วเปลี่ยนสี ดาบพิฆาตอสูร
